Timestamp,X,Y
1775762146622,1383,615
1775762146642,1358,621
1775762146663,1332,624
1775762146683,1313,624
1775762146703,1299,624
1775762146724,1292,623
1775762146745,1289,621
1775762146766,1288,619
1775762146786,1287,619
1775762146827,1287,619
1775762151845,1285,619
1775762151865,1263,622
1775762151886,1235,626
1775762151906,1201,631
1775762151926,1161,632
1775762151947,1125,633
1775762151968,1085,633
1775762151988,1053,633
1775762152008,1031,631
1775762152029,1016,630
1775762152049,1010,628
1775762152172,1009,628
1775762152194,1016,630
1775762152213,1033,635
1775762152234,1061,644
1775762152254,1095,653
1775762152275,1126,658
1775762152294,1155,661
1775762152315,1177,663
1775762152336,1191,666
1775762152355,1197,666
1775762152391,1198,664
1775762154478,1198,664
1775762154502,1204,660
1775762154521,1223,646
1775762154542,1255,622
1775762154562,1294,595
1775762154583,1333,574
1775762154605,1368,560
1775762154625,1398,553
1775762154646,1411,550
1775762154668,1416,548
1775762154688,1417,548
1775762154731,1417,548
1775762154786,1417,550
1775762154806,1418,551
1775762154827,1421,554
1775762154847,1423,563
1775762154868,1427,577
1775762154889,1432,591
1775762154910,1440,608
1775762154931,1449,626
1775762154951,1456,641
1775762154973,1461,649
1775762154993,1462,651
1775762155539,1461,652
1775762155559,1451,655
1775762155579,1438,658
1775762155601,1424,659
1775762155621,1399,658
1775762155641,1367,658
1775762155661,1333,659
1775762155681,1312,659
1775762155702,1297,662
1775762155722,1291,666
1775762155743,1290,669
1775762155764,1289,675
1775762155785,1289,685
1775762155805,1290,699
1775762155826,1294,721
1775762155848,1301,742
1775762155869,1307,756
1775762155889,1316,771
1775762155910,1332,791
1775762155931,1352,809
1775762155951,1370,820
1775762155972,1384,823
1775762155988,1391,822
1775762156007,1399,814
1775762156028,1404,804
1775762156049,1406,798
1775762156070,1406,796
1775762156112,1406,795
1775762156613,1406,795
1775762156634,1403,795
1775762156654,1395,788
1775762156674,1375,762
1775762156695,1331,699
1775762156716,1261,598
1775762156737,1187,483
1775762156757,1145,409
1775762156778,1129,377
1775762156799,1121,364
1775762156819,1117,358
1775762157012,1115,356
1775762157033,1108,350
1775762157053,1090,333
1775762157073,1045,287
1775762157094,978,214
1775762157114,925,157
1775762157135,892,118
1775762157155,876,99
1775762157175,867,90
1775762157196,861,84
1775762157217,855,81
1775762157446,853,79
1775762157466,838,73
1775762157487,804,66
1775762157507,747,57
1775762157527,702,51
1775762157548,665,45
1775762157570,636,44
1775762157590,612,43
1775762157611,594,44
1775762157632,581,46
1775762157652,573,46
1775762157673,569,46
1775762157719,568,46
1775762157898,565,46
1775762157917,555,48
1775762157938,544,50
1775762157959,533,51
1775762157979,525,50
1775762158001,520,48
1775762158020,517,47
1775762158041,514,45
1775762158062,511,39
1775762158083,507,35
1775762158103,503,32
1775762158124,498,28
1775762158146,495,24
1775762158167,492,21
1775762158188,491,20
1775762158208,489,18
1775762158224,488,16
1775762158245,486,14
1775762158265,485,11
1775762158286,483,10
1775762158313,482,9
