Timestamp,X,Y
1775759826935,966,593
1775759826955,956,589
1775759826976,953,584
1775759827153,953,577
1775759827173,950,581
1775759827193,931,591
1775759827214,873,623
1775759827235,732,697
1775759827256,503,818
1775759827275,361,892
1775759827296,313,919
1775759827317,296,926
1775759827426,294,926
1775759827449,292,920
1775759827469,290,899
1775759827490,294,850
1775759827511,309,766
1775759827531,327,681
1775759827553,349,613
1775759827574,360,575
1775759827594,364,562
1775759827645,363,561
1775759827820,363,561
1775759827874,363,561
1775759827895,370,546
1775759827915,411,506
1775759827936,581,393
1775759827956,919,226
1775759827976,1089,171
1775759827997,1163,159
1775759828017,1188,158
1775759828039,1198,161
1775759828059,1199,164
1775759828080,1197,168
1775759828100,1187,175
1775759828121,1169,182
1775759828142,1150,188
1775759828163,1121,196
1775759828184,1094,203
1775759828206,1077,206
1775759828226,1073,206
1775759828247,1073,206
1775759828268,1094,199
1775759828289,1156,171
1775759828309,1377,87
1775759828551,1774,6
1775759828571,1568,163
1775759828592,1327,369
1775759828612,1247,441
1775759828633,1205,479
1775759828654,1189,490
1775759828673,1186,491
1775759828694,1185,491
1775759828715,1186,485
1775759828797,1186,484
1775759828818,1184,484
1775759828845,1182,485
1775759828879,1181,485
1775759828900,1179,485
1775759828921,1175,485
1775759828942,1148,483
1775759828962,1087,480
1775759828983,961,468
1775759829006,844,449
1775759829024,794,434
1775759829046,772,423
1775759829066,760,416
1775759829087,757,413
1775759829117,757,414
1775759829138,767,423
1775759829158,788,436
1775759829178,814,443
1775759829199,846,444
1775759829219,859,444
1775759829234,862,444
1775759829254,861,445
1775759829275,830,450
1775759829295,771,450
1775759829316,678,441
1775759829337,611,431
1775759829357,573,427
1775759829378,559,426
1775759829400,554,425
1775759829444,554,425
1775759829469,554,423
1775759829490,554,420
1775759829510,561,413
1775759829532,588,399
1775759829552,649,355
1775759829573,705,291
1775759829594,729,249
1775759829615,736,232
1775759829636,736,227
1775759829663,735,226
1775759829683,733,226
1775759829718,731,226
1775759829745,730,226
1775759829760,730,226
1775759829779,729,229
1775759829799,727,231
1775759829882,727,232
1775759829899,728,233
1775759829920,732,238
1775759829941,737,247
1775759829961,739,269
1775759829982,735,302
1775759830004,717,359
1775759830024,692,426
1775759830045,669,496
1775759830065,653,539
1775759830086,643,564
1775759830107,640,571
1775759830128,638,573
1775759830202,638,573
1775759830223,641,563
1775759830243,652,545
1775759830264,669,521
1775759830284,682,501
1775759830305,688,491
1775759830325,689,487
1775759830946,684,488
1775759830967,665,494
1775759830987,605,514
1775759831007,522,543
1775759831029,376,581
1775759831049,228,608
1775759831069,111,633
1775759831089,66,642
1775759831109,51,643
1775759831130,49,640
1775759831151,48,632
1775759831172,55,626
1775759831192,73,631
1775759831212,103,649
1775759831233,133,671
1775759831254,158,695
1775759831274,175,716
1775759831295,189,733
1775759831315,197,743
1775759831336,200,748
1775759831363,202,742
1775759831383,208,712
1775759831403,226,586
1775759831424,252,392
1775759831445,267,302
1775759831465,274,273
1775759831485,277,266
1775759831506,278,267
1775759831527,280,277
1775759831547,278,295
1775759831568,274,330
1775759831588,276,491
1775759831608,293,734
1775759831629,296,833
1775759831649,294,851
1775759831670,294,856
1775759831697,294,857
1775759831882,294,857
1775759832079,294,857
1775759832099,299,855
1775759832119,323,845
1775759832140,430,810
1775759832160,667,748
1775759832181,989,688
1775759832202,1097,672
1775759832222,1125,670
1775759832242,1134,671
1775759832290,1134,671
1775759832311,1127,676
1775759832331,1091,687
1775759832351,1021,706
1775759832373,884,746
1775759832393,828,762
1775759832413,804,768
